id,label,pmid_count
EWSR1-DDIT3,EWSR1-DDIT3,1
EXT1,EXT1,1
EXT2,EXT2,1
EZH2,EZH2,7
F9,F9,1
FABP7,FABP7,1
FAK,FAK,2
FAT1,FAT1,1
FAT3,FAT3,1
FAT4,FAT4,1
FBXO4,FBXO4,1
FBXW7,FBXW7,3
FGF,FGF,1
FGF19,FGF19,4
FGF3,FGF3,1
FGF4,FGF4,1
FGFR,FGFR,11
FGFR1,FGFR1,16
FGFR2,FGFR2,7
FGFR3,FGFR3,4
FGFR4,FGFR4,2
FH,FH,1
FLI1,FLI1,1
FLT1,FLT1,1
FLT3,FLT3,6
FLT4,FLT4,1
FOS,FOS,3
FOXA1,FOXA1,2
FOXC1,FOXC1,1
FOXM1,FOXM1,4
FOXO,FOXO,1
FOXO1,FOXO1,1
FOXO3,FOXO3,2
FOXO3A,FOXO3A,1
FRS2,FRS2,6
FSIP1,FSIP1,1
FUS,FUS,2
FUS-DDIT3,FUS-DDIT3,1
GAB2,GAB2,2
GADD45A,GADD45A,1
GART,GART,1
GAS16,GAS16,1
GAS27,GAS27,1
GAS41,GAS41,2
GAS56,GAS56,1
GAS64,GAS64,1
GAS89,GAS89,1
GATA3,GATA3,1
GATA4,GATA4,1
GFAP,GFAP,1
GFI1,GFI1,2
GFI1B,GFI1B,1
GLI,GLI,6
GLI1,GLI1,10
GLI2,GLI2,1
GLR2007,GLR2007,1
GLS1,GLS1,1
GLTSCR2,GLTSCR2,1
GNA11,GNA11,1
GNAQ,GNAQ,2
GNAS,GNAS,2
GNLY,GNLY,1
GNRH1,GNRH1,1
GNS,GNS,1
GPC3,GPC3,2
GPER,GPER,1
GPNMB,GPNMB,1
GPRK7,GPRK7,1
GRB7,GRB7,1
GSK3A,GSK3A,1
GSK3B,GSK3B,4
GTSE1,GTSE1,1
Gankyrin,Gankyrin,1
Gli2,Gli2,1
H2AX,H2AX,1
H3F3A,H3F3A,1
H3F3C,H3F3C,1
HDAC,HDAC,2
HDAC1,HDAC1,1
HDM2,HDM2,1
HER2,HER2,33
HEXIM1,HEXIM1,1
HGF,HGF,2
HIF1A,HIF1A,3
HIST1H3B,HIST1H3B,1
HMGA2,HMGA2,17
HMGIC,HMGIC,2
HMMR/RHAMM,HMMR/RHAMM,1
HPV,HPV,2
HR,HR,4
HRAS,HRAS,4
HRPT2,HRPT2,1
HSP90,HSP90,2
HSP90AA1,HSP90AA1,2
HSPA5,HSPA5,1
Hormone receptor 2,Hormone receptor 2,3
IDH,IDH,3
IDH1,IDH1,5
IDH2,IDH2,2
IFNG,IFNG,1
IGF1,IGF1,2
IGF1R,IGF1R,8
IGF2,IGF2,1
IKBKB,IKBKB,1
IKBKE,IKBKE,1
IL17A,IL17A,1
IL1B,IL1B,1
IL2,IL2,1
IL24,IL24,1
IL2RA,IL2RA,2
IL6,IL6,2
IL7R,IL7R,1
IL8,IL8,1
IMP3,IMP3,1
INFA5,INFA5,1
INFA8,INFA8,1
INI1,INI1,1
INK4A,INK4A,1
INS,INS,1
INSR,INSR,1
IRG1,IRG1,1
ITGB1,ITGB1,1
ITGB4,ITGB4,1
JAK,JAK,1
JAK1,JAK1,1
JAK2,JAK2,4
JAK3,JAK3,2
JNK,JNK,3
JNK1,JNK1,1
JNK2,JNK2,1
JUN,JUN,6
JUNB,JUNB,1
KAT6A,KAT6A,1
KBRAS2,KBRAS2,1
KBTBD4,KBTBD4,1
KCNK12,KCNK12,1
KDM6A,KDM6A,2
KDR,KDR,2
KEAP1,KEAP1,1
KHDRBS2,KHDRBS2,1
KIAA1549,KIAA1549,1
KIT,KIT,18
KMT2A,KMT2A,1
KMT2C,KMT2C,1
KMT2D,KMT2D,1
KNTC1,KNTC1,1
KRAS,KRAS,22
KUB3,KUB3,1
Ki-67,Ki-67,1
Ki67,Ki67,1
LAMA3,LAMA3,2
LDB2,LDB2,1
LDHA,LDHA,1
LICAM2,LICAM2,1
LIMK1,LIMK1,1
LIV1,LIV1,1
LKB1,LKB1,1
LMTK3,LMTK3,1
LOXL2,LOXL2,1
LPP,LPP,1
LRP1B,LRP1B,1
MAGEA1,MAGEA1,1
MAGEA4,MAGEA4,1
MAP2K1,MAP2K1,7
MAP2K1 (MEK1),MAP2K1 (MEK1),1
MAP2K2,MAP2K2,1
MAP2K4,MAP2K4,1
MAP3K1,MAP3K1,1
MAP3K4,MAP3K4,1
MAP3K7IP2,MAP3K7IP2,1
MAPK,MAPK,13
MAPK1,MAPK1,7
MAPK14,MAPK14,5
MAPK3,MAPK3,3
MAPK8,MAPK8,3
MAPK9,MAPK9,1
MASL1,MASL1,1
MC1R,MC1R,8
MC4R,MC4R,1
MCL1,MCL1,5
MCM2,MCM2,1
MCM3,MCM3,1
MCM7,MCM7,2
MCPyV,MCPyV,1
MDC1,MDC1,1
MDM2,MDM2,207
MDM4,MDM4,4
MED8,MED8,1
MEF2C,MEF2C,1
MEIS1,MEIS1,3
MEK,MEK,9
MEK1,MEK1,4
MEL,MEL,1
MEN1,MEN1,2
MEP50,MEP50,1
MET,MET,21
METTL1,METTL1,1
MGMT,MGMT,2
MIF,MIF,1
MIR141,MIR141,1
MIR17HG,MIR17HG,1
MIR211,MIR211,1
MIR342,MIR342,1
MIR3613,MIR3613,1
MITF,MITF,14
MKI67,MKI67,3
MLH1,MLH1,1
MLL1,MLL1,1
MLL2,MLL2,1
MMP10,MMP10,1
MMP13,MMP13,1
MMP2,MMP2,3
MMP3,MMP3,1
MMP9,MMP9,3
MNK1,MNK1,1
MNK2,MNK2,1
MOCS2,MOCS2,1
MP1,MP1,1
MPHOSPH9,MPHOSPH9,1
MPL,MPL,1
MPS1,MPS1,1
MRE11,MRE11,1
MRE11A,MRE11A,1
MRPS30,MRPS30,1
MSH2,MSH2,3
MSH6,MSH6,1
MTAP,MTAP,1
MTOR,MTOR,66
MTORC1,MTORC1,1
MTS2,MTS2,1
MUC1,MUC1,1
MUC16,MUC16,1
MUC18,MUC18,1
MUC4,MUC4,1
MUTYH,MUTYH,1
