Gene Symbol,Frequency
CDK4,170
CDK6,169
ERBB2,8
ESR1,4
MTOR,2
DDR1,2
CCL2,2
PIK3CA,1
AKT1,1
TP53,1
KRAS,1
CCND1,1
HER2,1
