id
CDK4
CDK6
FSIP1
BRCA
ER
PR
HER2
FOXC1
RB1
RB
PLK1
SAMD5
EZH2
SMAD2
MIR3613
ACAA1
CREBBP
FOXM1
ESR1
PGR
ERBB2
BRCA1
BRCA2
AR
MYC
CTNNB1
""
