Source,Target,Weight
CDK4,CDK6,131
CDK4,MTOR,2
CDK6,MTOR,2
CDK4,ERBB2,2
CDK6,ERBB2,2
CDK4,DDR1,1
CDK6,DDR1,1
ESR1,TP53,1
ESR1,KRAS,1
KRAS,TP53,1
CDK4,ESR1,2
CDK6,ESR1,2
ERBB2,ESR1,1
CCND1,CDK4,1
CCND1,CDK6,1
